"site_id_unique","timeset","x","y","dataset","dclass","waterlog.30","waterlog.50","waterlog.100","ph.0.10","ph.10.30","ph.30.50","ph.50.100"
"4_35-In-132","d1968_1974_ptf",2575806,1204325,"calibration","poor",0,0,1,5.77025923935281,5.77025923935281,5.46878600850821,3.67558639906985
"4_35-In-133","d1968_1974_ptf",2576160,1204237,"calibration","poor",1,1,1,5.77025923935281,5.78528440509718,6.07173247019741,6.39077981236934
"4_35-In-135","d1968_1974_field",2575771,1203978,"validation","well",0,0,0,7.6,7.68858739286964,7.8,7.90869987651923
"4_35-In-136",NA,2575503,1203959,"calibration","poor",1,1,1,NA,NA,NA,NA
"4_35-In-137","d1968_1974_field",2575587,1203817,"validation","poor",0,0,1,6.5,6.38858739286964,6.3,6.77168649075589
"4_35-In-138","d1968_1974_field",2573424,1207359,"calibration","well",0,0,0,6.5,6.44712810462011,6.4,6.4
"4_35-In-139","d1968_1974_field",2573672,1207758,"validation","well",0,0,1,6.2,6.29001782210786,6.8,6.99258678095205
"4_35-In-140","d1968_1974_ptf",2574377,1207920,"validation","well",0,0,1,6.373205701042,6.61087903046587,7.39972447112812,7.95901831670466
"4_35-In-141","d1968_1974_ptf",2573868,1207497,"calibration","well",0,0,0,6.27271462409381,6.27271462409381,6.47710049357122,6.67516778847035
"4_35-In-142","d1968_1974_field",2574047,1207406,"calibration","well",0,0,0,7.3,7.45548953255469,7.78141564009892,8.2
"4_35-In-144","d1968_1974_field",2573870,1207217,"calibration","well",0,0,0,6.7,6.8245951332275,7,7
"4_35-In-145","d1968_1974_field",2573756,1207171,"validation","well",0,0,0,8.1,8.14712810462011,8.2,8.27275995715463
"4_35-In-146","d1968_1974_field",2573700,1206894,"calibration","well",0,0,0,6.8,6.84712810462011,6.942038844361,7.15720004928893
"4_35-In-147","d1968_1974_ptf",2573951,1206890,"calibration","well",0,0,0,7.1771343166276,7.1771343166276,7.25024013205728,7.2776253935758
"4_35-In-148","d1968_1974_field",2573634,1206781,"calibration","well",0,0,0,7.1,7.14712810462011,7.2,7.64217449329007
"4_35-In-149","d1968_1974_field",2573707,1206671,"calibration","moderate",0,0,1,7.2,7.14712810462011,7.1,7.12765899164598
"4_35-In-151","d1968_1974_field",2573918,1206731,"calibration","well",0,0,0,6.7,6.45548953255469,6.3,6.23728445895502
"4_35-In-152","d1968_1974_ptf",2574287,1207029,"calibration","well",0,0,0,5.36829493156001,5.493381362972,5.66976816240461,5.97021195166398
"4_35-In-153","d1968_1974_ptf",2574463,1206878,"calibration","well",0,0,0,5.56927708545641,5.56927708545641,5.72532504509864,6.06020848191672
"4_35-In-154","d1968_1974_field",2574505,1207195,"calibration","well",0,0,1,6.9,6.84712810462011,6.8,7.01131028981149
"4_35-In-155","d1968_1974_field",2575161,1207687,"calibration","well",0,0,0,6.1,6.2245951332275,6.58169894759789,6.91824224046031
"4_35-In-157","d1968_1974_ptf",2575129,1207102,"calibration","well",0,0,0,7.1771343166276,7.1771343166276,7.1771343166276,7.28428235511426
"4_35-In-158","d1968_1974_field",2575105,1206926,"validation","well",0,0,0,6.4,6.5245951332275,6.7,7
"4_35-In-159","d1968_1974_ptf",2575353,1207041,"calibration","well",0,0,1,5.46878600850821,5.65107360411768,5.97124139324921,6.14138829793026
"4_35-In-160","d1968_1974_field",2575727,1207421,"calibration","poor",1,1,1,7.3,7.3,7.37275995715463,7.57938956053889
"4_35-In-161","d1968_1974_field",2575851,1207176,"calibration","well",0,0,0,6.6,6.4245951332275,6.3,6.53348855534036
"4_35-In-162","d1968_1974_field",2575626,1207135,"calibration","well",0,0,0,7.1,7.1,7.1,7.22520109776921
"4_35-In-163","d1968_1974_field",2576255,1206972,"calibration","well",0,0,0,6.4,6.4,6.47082291966543,6.89665228498981
"4_35-In-164","d1968_1974_ptf",2576022,1206862,"calibration","well",0,0,0,5.66976816240461,5.75873525107212,5.95971740496852,6.07173247019741
"4_35-In-165","d1968_1974_field",2575915,1206698,"calibration","well",0,0,1,6.4,6.4,6.47275995715463,6.61824224046031
"4_35-In-166","d1968_1974_ptf",2575515,1206798,"calibration","moderate",0,0,1,5.97124139324921,6.0963278246612,6.27271462409381,6.7751700088348
"4_35-In-167","d1968_1974_field",2575254,1206576,"calibration","well",0,0,0,7.1,7.14712810462011,7.2,7.2
"4_35-In-168","d1968_1974_field",2575154,1206599,"calibration","well",0,0,0,7.4,7.44712810462011,7.58858739286964,7.75720004928893
"4_35-In-169","d1968_1974_field",2575623,1206593,"calibration","well",0,0,0,7.2,7.14712810462011,7.1,7.25095795704569
"4_35-In-170","d1968_1974_field",2575530,1206216,"validation","well",0,0,0,8.2,8.2,8.2,8.52342402310944
"4_35-In-171","d1968_1974_ptf",2576024,1206438,"calibration","poor",1,1,1,7.2776253935758,7.37657996904569,7.4786075474722,7.62644405459688
"4_35-In-172","d1968_1974_field",2576374,1206582,"calibration","well",0,0,0,7.9,7.98858739286964,8.1,7.65446023412151
"4_35-In-173","d1968_1974_field",2576685,1206558,"calibration","well",0,0,1,7.6,7.68858739286964,7.8,7.58726329295183
"4_35-In-174","d1968_1974_ptf",2576592,1206375,"calibration","well",0,0,0,7.2776253935758,7.36659248224331,7.4786075474722,7.57860467800051
"4_35-In-175","d1968_1974_field",2576497,1206265,"calibration","poor",1,1,1,7.8,7.68858739286964,7.6,7.53728445895502
"4_35-In-176","d1968_1974_ptf",2576399,1206136,"calibration","poor",0,0,1,7.0766432396794,7.16561032834692,7.2776253935758,7.30540905081576
"4_35-In-177","d1968_1974_ptf",2576296,1206070.99999999,"validation","well",0,0,0,7.1771343166276,7.33318227626984,7.65015121474375,7.99938649633618
"4_35-In-178","d1968_1974_field",2575951,1205983,"calibration","well",0,0,0,7.3,7.3,7.34712810462011,7.63756526513317
"4_35-In-179","d1968_1974_field",2576297,1205956,"calibration","well",0,0,0,7.5,7.54712810462011,7.64564292589211,7.94564292589211
"4_35-In-180","d1968_1974_field",2576404,1205822,"validation","well",0,0,0,7,7.08858739286964,7.2,7.60370720195529
"4_35-In-181","d1968_1974_field",2576750,1206132,"calibration","poor",0,1,1,7.5,7.54712810462011,7.27082291966543,7.2
"4_35-In-182","d1968_1974_field",2576107,1205635,"calibration","well",0,0,0,7.1,7.14712810462011,7.2,7.37531351989859
"4_35-In-183","d1968_1974_field",2576047,1205490,"calibration","well",0,0,0,7,7.04712810462011,7.14712810462011,7.30869987651923
"4_35-In-184","d1968_1974_field",2576001,1205749,"validation","well",0,0,0,6.7,6.78858739286964,6.9,6.99665228498981
"4_35-In-185","d1968_1974_ptf",2575582,1205808,"validation","well",0,0,0,6.47369677799021,6.42055113121849,6.42055113121849,6.47369677799021
"4_35-In-186","d1968_1974_field",2575643,1205544,"validation","well",0,0,0,7.8,7.88858739286964,8.08858739286964,8.2
"4_35-In-187","d1968_1974_field",2575595,1205201,"calibration","moderate",0,0,1,6,5.94712810462011,5.9,6.5
"4_35-In-189","d1968_1974_field",2576029,1205201,"calibration","well",0,0,0,7.9,7.94712810462011,8.15548953255469,8.42765899164598
"4_35-In-190","d1968_1974_field",2576305,1205034,"calibration","poor",0,1,1,8,7.88858739286964,7.40370720195529,7.2
"4_35-In-191","d1968_1974_ptf",2575719,1206123,"calibration","well",0,0,0,7.2776253935758,7.40271182498779,7.52595297764868,7.1771343166276
"4_35-In-192","d1968_1974_ptf",2574098,1207648,"calibration","well",0,0,0,6.7751700088348,6.93121796847704,7.1771343166276,7.32979265936064
"4_35-In-193","d1968_1974_field",2575076,1205301,"calibration","well",0,0,0,7.5,7.54712810462011,7.6,7.85879440517681
"4_41-Aa-065","d1968_1974_field",2588346,1210602,"validation","well",0,0,0,6,6.15548953255469,6.48858739286964,6.67807299314909
"4_41-Aa-101","d1968_1974_field",2585649,1205953,"calibration","well",0,0,0,8.2,8.2,8.2,8.38518138201572
"4_41-Aa-111","d1968_1974_field",2586857,1205697,"validation","well",0,0,0,6.5,6.42765899164598,5.8,5.85720004928893
"4_41-Aa-112","d1968_1974_field",2589616,1209173,"calibration","well",0,0,0,6.2,6.28858739286964,6.4,6.77799996267126
"4_41-Aa-113","d1968_1974_ptf",2590369,1210697,"calibration","well",0,0,0,5.56927708545641,5.51613143868469,5.39132278449061,5.45726202022752
"4_41-Aa-114","d1968_1974_ptf",2590703,1211978,"calibration","moderate",0,1,1,6.07173247019741,6.01858682342569,6.04190065264475,6.33602361530014
"4_41-Aa-115","d1968_1974_ptf",2590233,1208566,"calibration","well",0,0,0,5.97124139324921,5.97124139324921,5.97124139324921,5.87075031630101
"4_41-Aa-116","d1968_1974_field",2591874,1210619,"validation","well",0,0,0,6.1,6.18858739286964,6.4407307683263,6.5
"4_41-Aa-161","d1968_1974_field",2589250,1206492,"validation","well",0,0,0,5.9,5.9,5.9,5.21824224046031
"4_41-Aa-162","d1968_1974_field",2589147,1206770,"validation","well",0,0,0,6.1,5.9245951332275,5.8,5.8
"4_41-Aa-163","d1968_1974_ptf",2591534,1208403,"calibration","well",0,0,0,5.97124139324921,5.97124139324921,6.01858682342569,6.07173247019741
"4_41-Ga-081","d1968_1974_field",2597120,1215204,"calibration","poor",0,0,1,6,6.1245951332275,6.3,5.95195513241139
"4_41-Ga-082","d1968_1974_field",2597547,1214749,"calibration","well",0,0,0,6.6,6.68858739286964,6.8,6.95195513241139
"4_41-Ga-117","d1968_1974_field",2591904,1211370,"calibration","moderate",0,1,1,6.7,6.8245951332275,6.92292509377807,6.9
"4_41-Ga-131","d1968_1974_field",2593029,1213849,"calibration","well",0,0,0,6.2,5.88169894759789,5.7,5.80176678678612
"4_41-Ga-133","d1968_1974_field",2594459,1212254,"calibration","well",0,0,0,6.5,6.54712810462011,6.62292509377807,6.85446023412151
"4_41-Ga-134","d1968_1974_field",2595321,1214136,"calibration","well",0,0,0,6.8,6.8,6.64391885103048,6.25195513241139
"4_41-Ga-135","d1968_1974_field",2598827,1211294,"validation","well",0,0,0,6.6,6.64712810462011,6.7,6.79552513821104
"4_41-Ga-136","d1968_1974_field",2599036,1213911,"validation","moderate",1,1,1,7.3,7.1245951332275,7,7
"4_41-In-242","d1968_1974_field",2575685,1209075,"calibration","well",0,0,0,6.4,6.45784465509681,6.7,6.94115316456371
"4_41-In-243","d1968_1974_ptf",2579551,1209337,"calibration","poor",0,0,1,4.66485739292261,4.91488241031008,5.56927708545641,5.98130527904059
"4_41-In-244","d1968_1974_ptf",2579600,1206852,"calibration","well",0,0,0,6.373205701042,6.31508638830032,6.34054467197464,6.373205701042
"4_41-In-245","d1968_1974_field",2577269,1205492,"validation","well",0,0,0,6.8,6.74712810462011,6.7,6.7314836168183
"4_41-In-247","d1968_1974_field",2579748,1205811,"validation","poor",0,1,1,7.6,4.30092091952111,4.29994046506402,6.68003441396652
"4_41-In-248","d1968_1974_field",2579232,1204827,"calibration","poor",0,0,1,7.4,7.55548953255469,7.8,7.90869987651923
"4_41-In-249","d1968_1974_ptf",2581822,1208608,"calibration","poor",0,0,1,6.7751700088348,6.7751700088348,6.7751700088348,7.17355302650753
"4_41-In-250","d1968_1974_field",2581917,1207279,"validation","moderate",0,1,1,7.4,7.4,7.442038844361,7.85640307309952
"4_41-In-252","d1968_1974_field",2584405,1208057,"validation","well",0,0,0,7.4,7.47275995715463,7.5,7.72202024601141
"4_41-In-253","d1968_1974_field",2585049,1207232,"validation","well",0,0,0,6.8,6.68858739286964,6.5407307683263,6.37807299314909
"4_41-In-254","d1968_1974_field",2584165,1210089,"validation","well",0,0,0,7.7,7.8245951332275,8.1245951332275,8.25720004928893
"4_41-In-255","d1968_1974_field",2585461,1209560,"validation","well",0,0,0,7.5,7.44712810462011,7.4,7.55195513241139
"4_41-Kw-151","d1968_1974_field",2595083,1210138,"validation","moderate",0,0,1,6.8,7.00370720195529,7.4,7.1
"4_41-Kw-152","d1968_1974_field",2596097,1209339,"validation","well",0,0,0,7.3,7.3,7.3,7.38889812773972
"4_41-Kw-153","d1968_1974_field",2598948,1209513,"validation","well",0,0,0,7.5,7.43728445895503,7.4,7.99665228498981
"4_41-Kw-164","d1968_1974_field",2593588,1208444,"validation","well",0,0,0,5.8,5.55548953255469,5.4,5.2
"4_41-Nk-047","d1968_1974_field",2583565,1211648,"validation","well",0,0,0,6.7,6.74712810462011,6.6245951332275,5.8383212203538
"4_41-Nk-048","d1968_1974_field",2585532,1213133,"calibration","well",0,0,0,8.5,8.5,8.7,8.27784844719445
"4_41-Nk-063","d1968_1974_field",2586441,1212715,"validation","well",0,0,0,7.7,7.78858739286964,7.9,8.01429537246924
"4_41-Nk-064","d1968_1974_field",2587461,1212628,"validation","well",0,0,0,7.7,7.74712810462011,7.8,7.99459137815885
"4_41-Nk-066","d1968_1974_field",2588555,1215107,"validation","well",0,0,0,7.6,7.7245951332275,7.98858739286964,8.16936525217336
"4_41-Pd-132","d1968_1974_field",2593893,1216302,"calibration","well",0,0,0,6.4,6.44712810462011,6.5,6.53227327763393
"4_42-In-256","d1968_1974_field",2580460,1210038,"calibration","poor",0,0,1,7.8,7.8,7.3,7.07039913275028
"4_42-In-257","d1968_1974_ptf",2580686,1210213,"calibration","poor",0,0,1,6.9761521627312,6.7997653632986,6.6746789318866,6.52829756357398
"4_42-In-258","d1968_1974_field",2582057,1210574,"calibration","poor",1,1,1,7.2,7.14712810462011,7.1,7.1
"4_42-In-259","d1968_1974_field",2580493,1209844,"calibration","poor",0,0,1,7.5,7.65548953255469,7.9,7.13208032571226
"4_42-In-260","d1968_1974_field",2580949,1209758,"calibration","well",0,0,0,6.6,6.54712810462011,6.5,6.65195513241139
"4_42-In-261","d1968_1974_field",2581793,1210105,"validation","well",0,0,0,7,6.94712810462011,6.9,6.8201093269304
"4_42-In-262","d1968_1974_field",2582219,1210467,"validation","well",0,0,0,7,6.94712810462011,6.9,6.81824224046031
"4_42-In-263","d1968_1974_field",2582324,1210431,"calibration","poor",0,0,1,6.7,6.7,6.7,6.6297892048777
"4_42-In-264","d1968_1974_field",2581838,1209907,"calibration","well",0,0,0,7.1,7.04712810462011,6.92292509377807,6.97671028190712
"4_42-In-265","d1968_1974_field",2580525,1209270,"calibration","poor",0,0,1,7.6,7.48858739286964,7.4,7.08648700010942
"4_42-In-266","d1968_1974_field",2580743,1209455,"calibration","poor",0,0,1,7.6,7.35548953255469,7.2,7.03329922358877
"4_42-In-267","d1968_1974_field",2580844,1209446,"calibration","well",0,0,0,6.8,6.8,6.84712810462011,6.99665228498981
"4_42-In-268","d1968_1974_field",2580965,1209385,"calibration","well",0,0,0,6.4,6.4,6.4,6.629341874475
"4_42-In-269","d1968_1974_field",2580774,1209143,"calibration","well",0,0,0,7.9,7.9,7.9,8.10869987651923
"4_42-In-270","d1968_1974_field",2581287,1209603,"calibration","well",0,0,0,6.6,6.68858739286964,6.88858739286964,7.05570419654341
"4_42-In-271","d1968_1974_field",2581706,1209481,"validation","well",0,0,0,6.8,6.9245951332275,7.1,7.1
"4_42-In-272","d1968_1974_ptf",2581485,1209382,"calibration","well",0,0,0,6.373205701042,6.52925366068424,6.7751700088348,6.83263698283899
"4_42-In-273","d1968_1974_field",2582294,1209671,"validation","well",0,0,0,7,7,7,7.07807299314909
"4_42-In-274","d1968_1974_field",2582462,1209784,"calibration","well",0,0,0,7.4,7.55548953255469,7.8,7.80902534567814
"4_42-In-275","d1968_1974_ptf",2582437,1209540,"calibration","well",0,0,0,6.373205701042,6.52925366068424,6.7751700088348,7.15544196278593
"4_42-In-276","d1968_1974_field",2580509,1208963,"calibration","poor",0,0,1,7.8,7.68858739286964,7.6,7.18653172678364
"4_42-In-277","d1968_1974_field",2580672,1208548,"calibration","poor",0,0,1,7.9,7.50370720195529,7.3,7.18653172678364
"4_42-In-278","d1968_1974_ptf",2580810,1208392,"calibration","poor",0,1,1,6.7751700088348,6.66315494360592,6.47710049357122,6.27271462409381
"4_42-In-279","d1968_1974_field",2581389,1208861,"calibration","moderate",0,1,1,7.1,7.04712810462011,7.02292509377807,7.16751113456402
"4_42-In-280","d1968_1974_field",2581561,1209177,"calibration","well",0,0,0,7.5,7.25548953255469,7.1,7.71961927883892
"4_42-In-281","d1968_1974_ptf",2581843,1208928,"calibration","well",0,0,0,6.47369677799021,6.62974473763244,6.93371632438343,7.23460129063179
"4_42-In-282","d1968_1974_ptf",2582529,1209224,"validation","well",0,0,0,6.875661085783,6.96462817445052,7.23269119932164,7.4786075474722
"4_42-In-283","d1968_1974_field",2580853,1208187,"validation","poor",0,0,1,7.6,7.4245951332275,7.3,7.2
"4_42-In-284","d1968_1974_field",2581061,1208143,"validation","poor",1,1,1,7.7,7.5245951332275,7.4,7.19665228498981
"4_42-In-285","d1968_1974_field",2581509,1208192,"calibration","poor",0,0,1,7.3,7.24712810462011,7.2,7.48526318656403
"4_42-In-286","d1968_1974_ptf",2581402,1207852,"calibration","poor",0,1,1,5.16731277766361,5.16731277766361,5.97124139324921,6.19338558271806
"4_42-In-287","d1968_1974_field",2581962,1208637,"validation","poor",0,1,1,7.1,7.2245951332275,7.48858739286964,7.6
"4_42-In-289","d1968_1974_field",2581762,1207985,"calibration","poor",0,1,1,7.1,7.14712810462011,7.042038844361,7.32254630891774
"4_42-In-290","d1968_1974_field",2581650,1207640,"validation","well",0,0,1,7.3,7.3,7.32292509377807,7.29253606529356
"4_42-In-291","d1968_1974_field",2581997,1207915,"validation","well",0,0,0,7.2,7.24712810462011,7.05548953255469,7.01961927883892
"4_42-In-292","d1968_1974_field",2580246,1209176,"calibration","poor",0,1,1,6.9,6.78858739286964,6.67275995715463,6.6
"4_42-In-293","d1968_1974_field",2580388,1209180,"calibration","well",0,0,0,7.1,7.14712810462011,7.25784465509681,7.5
"4_42-In-294","d1968_1974_field",2580106,1208991,"calibration","well",0,0,0,6.8,6.84712810462011,6.94712810462011,7.06936525217336
"4_42-In-296","d1968_1974_field",2580336,1208746,"calibration","poor",0,0,1,7.8,7.55548953255469,7.4,7.05570419654341
"4_42-In-297","d1968_1974_field",2579770,1208554,"calibration","well",0,0,0,6.8,6.84712810462011,6.9,6.9
"4_42-In-298","d1968_1974_field",2579781,1208356,"calibration","well",0,0,0,6.8,6.74712810462011,6.7,6.7
